TradeId|Delta|Gamma|Vega|Pnl|PnlDelta|PnlVega
0|4744.9800000000005|119.56048867161117|-2559.9070969720487|448.8989290302799|474.49800000000033|-25.599070969720486
1|-2855.1600000000008|-284.7193342909897|-195.4949261173857|-287.4709492611741|-285.51600000000025|-1.954949261173857
2|-863.46|31.07934535503987|442.08929185662|-81.92510708143396|-86.34600000000016|4.4208929185662
3|3507.8399999999997|-235.10136321936739|229.36180032185953|353.0776180032189|350.78400000000033|2.2936180032185955
4|-709.7600000000007|6.583885407355739|-607.2234087117376|-77.04823408711748|-70.9760000000001|-6.072234087117376
5|-3580.739999999999|284.10424031174614|-2342.926199055146|-381.5032619905517|-358.07400000000024|-23.42926199055146
6|-5355.0|-72.83244994409146|764.1859216122707|-527.8581407838773|-535.5|7.6418592161227075
7|2424.5200000000004|224.91916912476503|2413.217494639569|266.58417494639593|242.45200000000023|24.13217494639569
8|11734.12|228.58684572410496|541.3555820356706|1178.8255558203584|1173.4120000000016|5.413555820356707
9|2245.440000000002|112.84590131146615|-1985.0049007062307|204.69395099293814|224.54400000000044|-19.850049007062307
10|9378.6|770.1322094897886|-1203.4386292275622|925.8256137077257|937.8600000000013|-12.034386292275622
11|-1240.36|63.54620998264889|-617.1819254999375|-130.2078192549995|-124.03600000000012|-6.171819254999376
12|5421.74|-530.2247125923838|-3096.429946712265|511.20970053287766|542.1740000000003|-30.96429946712265
13|-3745.5000000000005|-59.10072521056765|783.0866924688316|-366.719133075312|-374.55000000000035|7.8308669246883165
14|10759.340000000002|-916.5601740425974|146.387516839102|1077.397875168393|1075.934000000002|1.46387516839102
15|2589.12|-68.22158920163439|2271.2985435082605|281.624985435083|258.9120000000004|22.712985435082604
16|742.8000000000001|-2.580927466615598|-261.0662096024576|71.6693379039755|74.28000000000007|-2.610662096024576
17|2861.7599999999998|-113.58053273418042|-970.0219031239717|276.4757809687606|286.17600000000033|-9.700219031239717
18|34.44000000000003|1.4126161772964188|18.18326476511381|3.6258326476511433|3.4440000000000053|0.18183264765113813
19|-1684.8|-123.97733679630947|1312.419662545487|-155.35580337454522|-168.48000000000008|13.12419662545487
20|962.3400000000001|10.124630020521677|896.8312707433932|105.20231270743402|96.23400000000008|8.968312707433933
21|-3708.0400000000013|173.5762322204632|2835.207632351913|-342.45192367648116|-370.8040000000003|28.35207632351913
22|-3223.999999999999|54.0316932671623|-2270.530339223432|-345.10530339223436|-322.40000000000003|-22.70530339223432
23|9826.8|-243.26666087684336|6651.78295066581|1049.197829506658|982.6800000000001|66.5178295066581
24|-848.6400000000002|-35.531154291581956|-69.23981813691502|-85.55639818136919|-84.86400000000003|-0.6923981813691502
25|-3554.2799999999997|224.1048018542688|2648.0036297252186|-328.94796370274787|-355.42800000000005|26.480036297252187
26|-21254.04|-1854.2294086004906|-21235.52330660874|-2337.759233066089|-2125.404000000002|-212.35523306608738
27|-7794.1|-418.0980294754672|-1670.5723358012506|-796.1157233580138|-779.4100000000013|-16.705723358012506
28|1807.74|151.64466016906727|893.2089603211298|189.70608960321135|180.77400000000006|8.932089603211297
29|6280.3|-449.4368647030507|3619.843838096155|664.2284383809625|628.030000000001|36.198438380961555
30|0.0|-0.0|0.0|0.0|0.0|0.0
31|13926.84|-1091.0039765445424|9278.960841741935|1485.4736084174215|1392.684000000002|92.78960841741934
32|-807.8400000000001|-12.623176325958601|-209.84607360232687|-82.88246073602335|-80.78400000000008|-2.0984607360232688
33|2318.7999999999997|231.33283063958518|355.03518130327615|235.43035181303287|231.8800000000001|3.5503518130327616
34|13198.64|-989.6497889597819|-7305.936066188042|1246.8046393381212|1319.8640000000016|-73.05936066188042
35|-3674.1599999999994|352.42515267209126|2253.51376308909|-344.8808623691096|-367.4160000000005|22.5351376308909
36|5545.280000000001|-216.41201860044444|-3612.0236339852836|518.4077636601479|554.5280000000007|-36.12023633985284
37|-5232.000000000001|378.9548402417851|699.9004543805768|-516.2009954561947|-523.2000000000005|6.999004543805768
